"stock","year","mean","sd","median","lwr95CI","upr95CI","cv","obs"
"Kisaralik",2011,1739.30409106528,458.223465641227,1663.24167412381,1080.70680338096,2827.80507284063,0.263452186420476,0
"Kisaralik",2012,3464.93108547021,911.971223317591,3314.20250682289,2155.13168278263,5638.25155317808,0.26320039297227,1
"Kisaralik",2013,3529.71571665947,929.016506767776,3376.0920302943,2194.51161358043,5744.24610617846,0.263198676987789,1
"Kisaralik",2014,3665.17449096429,964.657798098639,3504.95508045599,2279.3953088127,5965.87108063379,0.263195599684762,1
"Kisaralik",2015,4177.5620285521,1099.4865625465,3996.3162188943,2596.94167243323,6804.01978718119,0.263188566688398,1
"Kisaralik",2016,3665.17449096429,964.657798098639,3504.95508045599,2279.3953088127,5965.87108063379,0.263195599684762,1
"Kisaralik",2017,4077.44032580506,1073.13945191516,3899.93800098542,2534.60450206727,6640.2531878232,0.263189492958006,0
"Kogrukluk",1976,5638,281.9,5638,5085.476,6190.524,0.05,1
"Kogrukluk",1977,19888,994.4,19888,17938.976,21837.024,0.05,0
"Kogrukluk",1978,14533,726.65,14533,13108.766,15957.234,0.05,1
"Kogrukluk",1979,11393,569.65,11393,10276.486,12509.514,0.05,1
"Kogrukluk",1980,20345,1017.25,20345,18351.19,22338.81,0.05,0
"Kogrukluk",1981,16089,804.45,16089,14512.278,17665.722,0.05,1
"Kogrukluk",1982,13126,656.3,13126,11839.652,14412.348,0.05,1
"Kogrukluk",1983,5155,257.75,5155,4649.81,5660.19,0.05,0
"Kogrukluk",1984,4922,246.1,4922,4439.644,5404.356,0.05,1
"Kogrukluk",1985,4442,222.1,4442,4006.684,4877.316,0.05,1
"Kogrukluk",1986,4119,205.95,4119,3715.338,4522.662,0.05,0
"Kogrukluk",1987,6388,319.4,6388,5761.976,7014.024,0.05,0
"Kogrukluk",1988,8028,401.4,8028,7241.256,8814.744,0.05,1
"Kogrukluk",1989,6855,342.75,6855,6183.21,7526.79,0.05,0
"Kogrukluk",1990,10093,504.65,10093,9103.886,11082.114,0.05,1
"Kogrukluk",1991,6835,341.75,6835,6165.17,7504.83,0.05,1
"Kogrukluk",1992,6563,328.15,6563,5919.826,7206.174,0.05,1
"Kogrukluk",1993,12377,618.85,12377,11164.054,13589.946,0.05,1
"Kogrukluk",1994,22537,1126.85,22537,20328.374,24745.626,0.05,0
"Kogrukluk",1995,20662,1033.1,20662,18637.124,22686.876,0.05,1
"Kogrukluk",1996,13771,688.55,13771,12421.442,15120.558,0.05,1
"Kogrukluk",1997,13190,659.5,13190,11897.38,14482.62,0.05,1
"Kogrukluk",1998,6559,327.95,6559,5916.218,7201.782,0.05,0
"Kogrukluk",1999,5543,277.15,5543,4999.786,6086.214,0.05,1
"Kogrukluk",2000,3242,162.1,3242,2924.284,3559.716,0.05,1
"Kogrukluk",2001,7475,373.75,7475,6742.45,8207.55,0.05,1
"Kogrukluk",2002,10025,501.25,10025,9042.55,11007.45,0.05,1
"Kogrukluk",2003,12008,600.4,12008,10831.216,13184.784,0.05,1
"Kogrukluk",2004,19819,990.95,19819,17876.738,21761.262,0.05,1
"Kogrukluk",2005,21819,1090.95,21819,19680.738,23957.262,0.05,1
"Kogrukluk",2006,20205,1010.25,20205,18224.91,22185.09,0.05,1
"Kogrukluk",2007,11431,571.55,11431,10310.762,12551.238,0.05,0
"Kogrukluk",2008,9750,487.5,9750,8794.5,10705.5,0.05,1
"Kogrukluk",2009,9528,476.4,9528,8594.256,10461.744,0.05,1
"Kogrukluk",2010,5812,290.6,5812,5242.424,6381.576,0.05,1
"Kogrukluk",2011,6731,336.55,6731,6071.362,7390.638,0.05,1
